"ind" "pop" "Latitude" "Longitude"
"1" "106.bam" "Marquesas Rock" 24.45597 -82.23144
"2" "110.bam" "Marquesas Rock" 24.45597 -82.23144
"3" "11.bam" "Rebecca Shoals" 24.57434 -82.59091
"4" "123.bam" "Ellis Rock" 24.64589 -82.19049
"5" "124.bam" "Ellis Rock" 24.64589 -82.19049
"6" "125.bam" "Ellis Rock" 24.64589 -82.19049
"7" "12.bam" "Rebecca Shoals" 24.57434 -82.59091
"8" "13.bam" "Rebecca Shoals" 24.57434 -82.59091
"9" "141.bam" "Smith Shoal" 24.7159 -81.92645
"10" "143.bam" "Smith Shoal" 24.7159 -81.92645
"11" "144.bam" "Smith Shoal" 24.7159 -81.92645
"12" "145.bam" "Smith Shoal" 24.7159 -81.92645
"13" "147.bam" "Lowe Shoal" 24.70507 -81.9828
"14" "148.bam" "Lowe Shoal" 24.70507 -81.9828
"15" "14.bam" "Rebecca Shoals" 24.57434 -82.59091
"16" "150.bam" "Lowe Shoal" 24.70507 -81.9828
"17" "151.bam" "Satan Shoal" 24.45989 -81.98913
"18" "153.bam" "Satan Shoal" 24.45989 -81.98913
"19" "155.bam" "Satan Shoal" 24.45989 -81.98913
"20" "15.bam" "Rebecca Shoals" 24.57434 -82.59091
"21" "161.bam" "Middle Ground" 24.47577 -81.89539
"22" "162.bam" "Middle Ground" 24.47577 -81.89539
"23" "163.bam" "Middle Ground" 24.47577 -81.89539
"24" "164.bam" "Middle Ground" 24.47577 -81.89539
"25" "165.bam" "Middle Ground" 24.47577 -81.89539
"26" "180.bam" "Key West Inshore" 24.53626 -81.77518
"27" "181.bam" "Key West Inshore" 24.53626 -81.77518
"28" "182.bam" "Key West Inshore" 24.53626 -81.77518
"29" "183.bam" "Key West Inshore" 24.53626 -81.77518
"30" "184.bam" "Key West Inshore" 24.53626 -81.77518
"31" "206.bam" "Eastern Dry Rocks" 24.45692 -81.84791
"32" "207.bam" "Eastern Dry Rocks" 24.45692 -81.84791
"33" "208.bam" "Eastern Dry Rocks" 24.45692 -81.84791
"34" "209.bam" "Eastern Dry Rocks" 24.45692 -81.84791
"35" "210.bam" "Eastern Dry Rocks" 24.45692 -81.84791
"36" "21.bam" "DT.Pinnacle" 24.67583 -83.04236
"37" "231.bam" "W Sambo Deep" 24.47269 -81.73489
"38" "233.bam" "W Sambo Deep" 24.47269 -81.73489
"39" "234.bam" "W Sambo Deep" 24.47269 -81.73489
"40" "235.bam" "W Sambo Deep" 24.47269 -81.73489
"41" "236.bam" "W Sambo Shallow" 24.47551 -81.73554
"42" "238.bam" "W Sambo Shallow" 24.47551 -81.73554
"43" "240.bam" "W Sambo Shallow" 24.47551 -81.73554
"44" "261.bam" "Middle Sambo" 24.48838 -81.67699
"45" "263.bam" "Middle Sambo" 24.48838 -81.67699
"46" "267.bam" "Boca Chica Inshore" 24.56089 -81.66456
"47" "268.bam" "Boca Chica Inshore" 24.56089 -81.66456
"48" "269.bam" "Boca Chica Inshore" 24.56089 -81.66456
"49" "274.bam" "Boca Chica Inshore" 24.56089 -81.66456
"50" "281.bam" "Pelican Patch" 24.5292 -81.64182
"51" "282.bam" "Pelican Patch" 24.5292 -81.64182
